Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"International tourism, number of departures",ST.INT.DPRT,Small states,SST,..
"International tourism, number of departures",ST.INT.DPRT,South Asia,SAS,35959133.4949891
"International tourism, number of departures",ST.INT.DPRT,South Asia (IDA & IBRD),TSA,35959133.4949891
"International tourism, number of departures",ST.INT.DPRT,Sub-Saharan Africa,SSF,..
"International tourism, number of departures",ST.INT.DPRT,Sub-Saharan Africa (excluding high income),SSA,..
"International tourism, number of departures",ST.INT.DPRT,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
"International tourism, number of departures",ST.INT.DPRT,Upper middle income,UMC,361890799.429755
"International tourism, number of departures",ST.INT.DPRT,World,WLD,1563555557.74832
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/18/2020,,,,
